News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
CBSNews,2018-09-29 20:59:32+00:00,"Inside the tiny green huts that shelter London's cab drivers, where only those with ""the knowledge"" can get inside… https://t.co/2uXGblkMvy",0.0,0.0,1.0,0.0,23
CBSNews,2018-09-29 20:39:46+00:00,Shark attacks teen at Southern California beach https://t.co/2z1V2ElGzj https://t.co/l81bvYWvg9,-0.4404,0.0,0.734,0.266,24
CBSNews,2018-09-29 20:19:33+00:00,"FBI reaches out to Deborah Ramirez, the second woman to accuse Brett Kavanaugh of sexual misconduct… https://t.co/VGSw9GSPmK",-0.1531,0.067,0.833,0.1,25
CBSNews,2018-09-29 19:59:48+00:00,Super PAC aligned with House GOP leadership cuts off millions of dollars in funding for two vulnerable Republicans… https://t.co/l3mYljCQZj,0.2023,0.163,0.667,0.171,26
CBSNews,2018-09-29 19:39:47+00:00,Can blockchain save local reporting? A new start-up called Civil thinks cryptocurrency may be journalism's savior… https://t.co/r0pSr3NrHz,0.4939,0.176,0.824,0.0,27
CBSNews,2018-09-29 19:19:54+00:00,Wayde Sims shooting: Suspect arrested in LSU basketball player's death and admits to the killing… https://t.co/TAtOyT9TOO,-0.7906,0.094,0.513,0.393,28
CBSNews,2018-09-29 18:59:55+00:00,"The White House will determine the scope of the FBI's Brett Kavanaugh investigation, which could make it unlikely t… https://t.co/arDFVnj9hq",0.0,0.0,1.0,0.0,29
CBSNews,2018-09-29 18:41:32+00:00,Two children found dead in hot vehicles hours apart in Florida https://t.co/XfU6IDxbHN https://t.co/5JE24n2vpO,-0.6486,0.0,0.736,0.264,30
CBSNews,2018-09-29 18:19:38+00:00,"Nancy Pelosi calls Brett Kavanaugh ""hysterical,"" says he is unfit to serve on the Supreme Court… https://t.co/zkM7CB3JcH",0.5574,0.184,0.816,0.0,31
CBSNews,2018-09-29 18:00:01+00:00,The Mississippi police officers shot and killed in an early morning confrontation have been identified as James Whi… https://t.co/1bBV2qVTmd,-0.7783,0.0,0.714,0.286,32
CBSNews,2018-09-29 17:51:57+00:00,"RT @CBSSunday: DID YOU KNOW...

""The average cost to get a pair of hearing aids in the US is about $4,700. That basically means then for th…",0.0,0.0,1.0,0.0,33
